extracted,url,best_term,best_cosine,matched_terms
 fintechs,https://www.pymnts.com/tag/fintechs/,Fintech,0.7536556,Fintech
 tokenization,https://www.pymnts.com/tag/tokenization/,Tokenization,0.9176774,Tokenization
 artificial intelligence,https://www.pymnts.com/tag/artificial-intelligence/,AI (Artificial Intelligence),0.7812335,AI (Artificial Intelligence)
 blockchain,https://www.pymnts.com/tag/blockchain/,Blockchain,0.817461,Blockchain
 3d secure,https://www.pymnts.com/tag/3d-secure/,3DS (3D Secure),0.77916956,3DS (3D Secure)
 digital wallets,https://www.pymnts.com/tag/digital-wallets/,Digital Wallets,0.8846181,Digital Wallets
 authentication,https://www.pymnts.com/tag/authentication/,Authentication,0.75157183,Authentication
 cyberattacks,https://www.pymnts.com/tag/cyberattacks/,Cyberattack,0.78804934,Cyberattack
 privacy,https://www.pymnts.com/tag/privacy/,Privacy,0.8276957,Privacy
 fraud prevention,https://www.pymnts.com/tag/fraud-prevention/,Fraud Prevention,0.77378505,Fraud Prevention
 cloud computing,https://www.pymnts.com/tag/cloud-computing/,Cloud Computing,0.91075903,Cloud Computing; Cloud Computing Security
 data point,https://www.pymnts.com/tag/data-point/,Data Points,0.7788942,Data Points
 fintech,https://www.pymnts.com/tag/fintech/,Fintech,0.7988162,Fintech
 credit cards,https://www.pymnts.com/tag/credit-cards/,Credit Cards,0.832425,Credit Cards
 digital identity,https://www.pymnts.com/tag/digital-identity/,Digital Identity,0.92505527,Digital Identity
 mobile wallets,https://www.pymnts.com/tag/mobile-wallets/,Digital Wallets,0.7719713,Digital Wallets
 omnichannel retail,https://www.pymnts.com/tag/omnichannel-retail/,Omnichannel,0.8144989,Omnichannel
 friendly fraud,https://www.pymnts.com/tag/friendly-fraud/,Friendly Fraud,0.900925,Friendly Fraud
 credit bureaus,https://www.pymnts.com/tag/credit-bureaus/,Credit Bureau,0.77682394,Credit Bureau
 risk management,https://www.pymnts.com/tag/risk-management/,Risk Management,0.915282,Risk Management
 financial institutions,https://www.pymnts.com/tag/financial-institutions/,Financial Institution,0.7851633,Financial Institution
 financial conduct authority,https://www.pymnts.com/tag/financial-conduct-authority/,Financial Conduct Authority (FCA),0.7702003,Financial Conduct Authority (FCA)
 digital transformation,https://www.pymnts.com/tag/digital-transformation/,Digital Transformation,0.9087038,Digital Transformation
 scammers,https://www.pymnts.com/tag/scammers/,Scammer,0.81894565,Instagram scammer; Scammer
 world bank,https://www.pymnts.com/tag/world-bank/,World Bank,0.88044107,World Bank
 voice activation,https://www.pymnts.com/tag/voice-activation/,Voice Authorization,0.7655399,Voice Authorization
 ransomware,https://www.pymnts.com/tag/ransomware/,Ransomware,0.83205616,Ransomware
 biometrics,https://www.pymnts.com/tag/biometrics/,Biometrics,0.9410391,Biometric Authentication; Biometrics
 cybercrime,https://www.pymnts.com/tag/cybercrime/,Cybercrime,0.8594612,Cybercrime
 financial crime,https://www.pymnts.com/tag/financial-crime/,Financial Crime,0.88873863,Financial Crime
 software as a service,https://www.pymnts.com/tag/software-as-a-service/,Software-As-A-Service (SAAS),0.7853206,Software-As-A-Service (SAAS)
 financial crimes enforcement network,https://www.pymnts.com/tag/financial-crimes-enforcement-network/,Financial Crimes Enforcement Network (FINCEN),0.8087554,Financial Crimes Enforcement Network (FINCEN)
 digital currency,https://www.pymnts.com/tag/digital-currency/,Cryptocurrency,0.7544213,Cryptocurrency
category digital identity,https://www.pymnts.com/category/digital-identity/,Digital Identity,0.8028346,Digital Identity
 fraud detection,https://www.pymnts.com/tag/fraud-detection/,Fraud Detection,0.79023075,Fraud Detection
 payments fraud,https://www.pymnts.com/tag/payments-fraud/,Payment Fraud,0.83296347,Payment Fraud
 counterfeits,https://www.pymnts.com/tag/counterfeits/,Counterfeiting,0.78474504,Counterfeiting
 chargebacks,https://www.pymnts.com/tag/chargebacks/,Chargeback,0.873281,Chargeback; Chargeback Fraud
 anti money laundering,https://www.pymnts.com/tag/anti-money-laundering/,AML (Anti-Money Laundering),0.7691758,AML (Anti-Money Laundering)
 identity fraud,https://www.pymnts.com/tag/identity-fraud/,Identity Fraud,0.86712855,Confirmation Fraud; False Identity Fraud; Identity Fraud; Identity Theft
 social engineering,https://www.pymnts.com/tag/social-engineering/,Social Engineering,0.8739395,Social Engineering
 cloud,https://www.pymnts.com/tag/cloud/,Cloud,0.9159545,Cloud
 loan fraud,https://www.pymnts.com/tag/loan-fraud/,Mortgage fraud,0.7781707,Mortgage fraud
 data breaches,https://www.pymnts.com/tag/data-breaches/,Data Breaches,0.8355357,Data Breaches
 omnichannel,https://www.pymnts.com/tag/omnichannel/,Omnichannel,0.89583623,Omnichannel
 money laundering,https://www.pymnts.com/tag/money-laundering/,Money Laundering,0.7989688,Money Laundering
 check fraud,https://www.pymnts.com/tag/check-fraud/,Confirmation Fraud,0.7799844,Confirmation Fraud
 ai scams,https://www.pymnts.com/tag/ai-scams/,Scams,0.7622627,Scams
 omnichannel commerce,https://www.pymnts.com/tag/omnichannel-commerce/,Omnichannel,0.80385333,Omnichannel
 identity theft,https://www.pymnts.com/tag/identity-theft/,Identity Theft,0.8831386,Identity Fraud; Identity Theft; Tax Identity Theft
 financial crimes,https://www.pymnts.com/tag/financial-crimes/,Financial Crime,0.85565346,Financial Crime
 digital wallet,https://www.pymnts.com/tag/digital-wallet/,Digital Wallets,0.8537657,Digital Wallets
 passwords,https://www.pymnts.com/tag/passwords/,Password,0.77574617,Password
 remittance,https://www.pymnts.com/tag/remittance/,Remittance,0.9267428,Remittance; Remittance Services
 ponzi scheme,https://www.pymnts.com/tag/ponzi-scheme/,Ponzi Scheme,0.8012376,Ponzi Scheme
 payment processing,https://www.pymnts.com/tag/payment-processing/,Payment Gateway,0.7873748,Payment Gateway
 financial action task force,https://www.pymnts.com/tag/financial-action-task-force/,Financial Action Task Force (FATF),0.7816425,Financial Action Task Force (FATF)
 internet of things,https://www.pymnts.com/tag/internet-of-things/,Internet Of Things (IOT),0.823695,Internet Of Things (IOT)
 risk assessment,https://www.pymnts.com/tag/risk-assessment/,Risk Assessment,0.8877556,Risk Assessment
 encryption,https://www.pymnts.com/tag/encryption/,Encryption,0.79199344,Encryption
 multifactor authentication,https://www.pymnts.com/tag/multifactor-authentication/,Multi-Factor Authentication,0.86718416,Multi-Factor Authentication
 data theft,https://www.pymnts.com/tag/data-theft/,Data Theft,0.86886203,Data Theft
 wire fraud,https://www.pymnts.com/tag/wire-fraud/,Wire Fraud,0.8211156,Wire Fraud
 multi factor authentication,https://www.pymnts.com/tag/multi-factor-authentication/,Multi-Factor Authentication,0.9176767,Multi-Factor Authentication
 cross border commerce,https://www.pymnts.com/tag/cross-border-commerce/,Cross Border,0.7899319,Cross Border
series tokenization innovation,https://www.pymnts.com/series/tokenization-innovation/,Tokenization,0.7514935,Tokenization
series digital wallets,https://www.pymnts.com/series/digital-wallets/,Digital Wallets,0.7690733,Digital Wallets
series fintech,https://www.pymnts.com/series/fintech/,Fintech,0.8110471,Fintech
 cloud technology,https://www.pymnts.com/tag/cloud-technology/,Cloud Computing,0.7592002,Cloud Computing
 artifical intelligence,https://www.pymnts.com/tag/artifical-intelligence/,AI (Artificial Intelligence),0.7767453,AI (Artificial Intelligence)
 national institute of standards and technology,https://www.pymnts.com/tag/national-institute-of-standards-and-technology/,National Institute Of Standards And Technology (NIST),0.84087026,National Institute Of Standards And Technology (NIST)
