station_name,hour,realized_incidents,blocked_incidents,total_attempts,realized_rate,mean_active_agents,mean_station_expected_lambda,blocked_rate
tryon street,8,35,0,35,1.0,40.371428571428574,0.20185714285714285,0.0
davidson st,8,31,0,31,1.0,43.806451612903224,0.21903225806451612,0.0
hawthorne and 8th,13,31,0,31,1.0,31.774193548387096,0.1588709677419355,0.0
mint street,10,30,0,30,1.0,39.1,0.1955,0.0
tryon street,10,30,0,30,1.0,42.53333333333333,0.21266666666666667,0.0
central piedmont community college,12,29,0,29,1.0,37.689655172413794,0.18844827586206897,0.0
central piedmont community college,14,27,0,27,1.0,27.88888888888889,0.13944444444444445,0.0
charlotte gateway station,13,26,0,26,1.0,27.423076923076923,0.1371153846153846,0.0
davidson st,10,25,0,25,1.0,36.0,0.18,0.0
parkwood,17,25,0,25,1.0,21.28,0.10640000000000001,0.0
ctc/arena,1,24,1,25,0.96,8.88,0.43527374167803023,0.04
davidson st,13,23,0,23,1.0,30.91304347826087,0.15456521739130435,0.0
tryon street,1,23,0,23,1.0,36.04347826086956,0.1802173913043478,0.0
tryon street,13,23,0,23,1.0,28.869565217391305,0.1443478260869565,0.0
davidson st,16,22,0,22,1.0,28.90909090909091,0.14454545454545456,0.0
hawthorne and 8th,11,22,0,22,1.0,23.0,0.11499999999999999,0.0
mint street,12,22,0,22,1.0,32.0,0.16,0.0
7th st,9,21,0,21,1.0,32.38095238095238,0.10944592730655253,0.0
charlotte gateway station,15,21,0,21,1.0,24.428571428571427,0.12214285714285714,0.0
tryon street,11,21,0,21,1.0,31.857142857142858,0.15928571428571428,0.0
tryon street,12,21,0,21,1.0,28.0,0.13999999999999999,0.0
7th st,0,21,16,37,0.5675675675675675,11.378378378378379,1.1080031749706571,0.43243243243243246
central piedmont community college,17,20,0,20,1.0,22.65,0.11325,0.0
johnson & wales,14,20,0,20,1.0,24.75,0.12375,0.0
mint street,17,20,0,20,1.0,22.9,0.1145,0.0
parkwood,15,20,0,20,1.0,22.55,0.11274999999999999,0.0
sunnyside,13,20,0,20,1.0,30.65,0.15325,0.0
sunnyside,16,20,0,20,1.0,21.55,0.10775000000000001,0.0
tryon street,15,20,0,20,1.0,27.8,0.139,0.0
tryon street,16,20,0,20,1.0,27.45,0.13725,0.0
carson,3,20,1,21,0.9523809523809523,6.380952380952381,0.3756145044420317,0.047619047619047616
ctc/arena,0,20,1,21,0.9523809523809523,10.333333333333334,0.45581490498613336,0.047619047619047616
mint street,11,19,0,19,1.0,23.526315789473685,0.11763157894736842,0.0
sunnyside,18,19,0,19,1.0,18.473684210526315,0.09236842105263159,0.0
tryon street,9,19,0,19,1.0,17.157894736842106,0.08578947368421053,0.0
36th street,17,18,0,18,1.0,9.166666666666666,0.04583333333333333,0.0
davidson st,9,18,0,18,1.0,26.22222222222222,0.1311111111111111,0.0
elizabeth and hawthorne,17,18,0,18,1.0,15.5,0.0775,0.0
mint street,3,18,0,18,1.0,32.5,0.16249999999999998,0.0
mint street,13,18,0,18,1.0,22.61111111111111,0.11305555555555556,0.0
elizabeth and hawthorne,15,17,0,17,1.0,17.352941176470587,0.08676470588235295,0.0
irwin avenue,18,17,0,17,1.0,21.705882352941178,0.10852941176470587,0.0
tryon street,18,17,0,17,1.0,22.235294117647058,0.11117647058823531,0.0
