extracted,url,best_term,best_cosine,matched_terms
 fraud,https://www.pymnts.com/tag/fraud/,Fraud,0.6598234,Confirmation Fraud; Fraud; Friendly Fraud
 fintechs,https://www.pymnts.com/tag/fintechs/,Fintech,0.7536556,Fintech; Fintech Fraud
category credit cards,https://www.pymnts.com/category/credit-cards/,Credit Cards,0.6866675,Credit Cards
category artificial intelligence 2,https://www.pymnts.com/category/artificial-intelligence-2/,AI (Artificial Intelligence),0.7156932,AI (Artificial Intelligence)
 tokenization,https://www.pymnts.com/tag/tokenization/,Tokenization,0.9176774,Tokenization
 digital assets,https://www.pymnts.com/tag/digital-assets/,Digital Wallets,0.6394536,Digital Wallets
 cryptocurrency,https://www.pymnts.com/tag/cryptocurrency/,Cryptocurrency,0.64715254,Cryptocurrency
 artificial intelligence,https://www.pymnts.com/tag/artificial-intelligence/,AI (Artificial Intelligence),0.7812335,AI (Artificial Intelligence)
 data analytics,https://www.pymnts.com/tag/data-analytics/,Data Science,0.695828,Behavioral Analytics; Data Aggregation; Data Mining; Data Science
 regional banks,https://www.pymnts.com/tag/regional-banks/,Shell Bank,0.6273864,Shell Bank
 banks,https://www.pymnts.com/tag/banks/,Shell Bank,0.60599214,Shell Bank
 blockchain,https://www.pymnts.com/tag/blockchain/,Blockchain,0.817461,Blockchain
category cryptocurrency,https://www.pymnts.com/category/cryptocurrency/,Cryptocurrency,0.630472,Cryptocurrency
 kyc,https://www.pymnts.com/tag/kyc/,KYC (Know Your Customer),0.62987393,KYC (Know Your Customer)
 know your customer,https://www.pymnts.com/tag/know-your-customer/,Know Your Customer (KYC),0.66383517,Know Your Customer (KYC); Know Your Customer’S Customer (KYCC)
 know your business,https://www.pymnts.com/tag/know-your-business/,Know Your Business (KYB),0.65819573,Know Your Business (KYB)
 paypal,https://www.pymnts.com/tag/paypal/,PayPal,0.679662,PayPal
 3d secure,https://www.pymnts.com/tag/3d-secure/,3DS (3D Secure),0.77916956,3DS (3D Secure)
 cybersecurity,https://www.pymnts.com/tag/cybersecurity/,Cybersecurity,0.6695653,Cybersecurity
category cybersecurity,https://www.pymnts.com/category/cybersecurity/,Cybersecurity,0.6631492,Cybersecurity
 boost payment solutions,https://www.pymnts.com/tag/boost-payment-solutions/,Payment Screening,0.60825247,Payment Screening
 disbursements,https://www.pymnts.com/tag/disbursements/,Unauthorized Disbursements,0.74611795,Unauthorized Disbursements
 digital wallets,https://www.pymnts.com/tag/digital-wallets/,Digital Wallets,0.8846181,Digital Wallets
 authentication,https://www.pymnts.com/tag/authentication/,Authentication,0.75157183,Active Authentication; Authentication; Basic Authentication; Credentials
