station_name,hour,realized_incidents,blocked_incidents,total_attempts,realized_rate,mean_active_agents,mean_station_expected_lambda,blocked_rate
davidson st,8,40,3,43,0.9302325581395349,45.55813953488372,0.2277906976744186,0.06976744186046512
tryon street,8,37,6,43,0.8604651162790697,38.53488372093023,0.19267441860465118,0.13953488372093023
tryon street,16,29,0,29,1.0,26.448275862068964,0.13224137931034483,0.0
ctc/arena,1,29,1,30,0.9666666666666667,7.9,0.3337575589793095,0.03333333333333333
tryon street,10,29,1,30,0.9666666666666667,43.1,0.2155,0.03333333333333333
davidson st,15,27,0,27,1.0,27.444444444444443,0.13722222222222222,0.0
tryon street,11,26,0,26,1.0,32.30769230769231,0.16153846153846155,0.0
tryon street,15,23,0,23,1.0,27.17391304347826,0.1358695652173913,0.0
davidson st,13,23,2,25,0.92,30.92,0.15460000000000002,0.08
davidson st,10,22,6,28,0.7857142857142857,36.035714285714285,0.18017857142857144,0.21428571428571427
7th st,0,22,10,32,0.6875,13.53125,1.2397834883418715,0.3125
mint street,10,22,12,34,0.6470588235294118,39.794117647058826,0.19897058823529412,0.35294117647058826
7th st,9,21,0,21,1.0,26.761904761904763,0.17376155858434142,0.0
davidson st,16,21,0,21,1.0,31.80952380952381,0.15904761904761905,0.0
johnson & wales,14,20,0,20,1.0,23.25,0.11625,0.0
9th street,4,19,0,19,1.0,18.57894736842105,0.17347403131379488,0.0
sunnyside,18,19,0,19,1.0,17.157894736842106,0.08578947368421053,0.0
hawthorne and 8th,13,19,4,23,0.8260869565217391,32.08695652173913,0.16043478260869565,0.17391304347826086
9th street,11,18,0,18,1.0,20.61111111111111,0.10608630752053784,0.0
hawthorne and 5th,10,18,0,18,1.0,12.444444444444445,0.06222222222222223,0.0
mint street,13,18,0,18,1.0,24.27777777777778,0.1213888888888889,0.0
9th street,2,18,6,24,0.75,9.0,0.43488026706587074,0.25
charlotte gateway station,6,17,0,17,1.0,24.058823529411764,0.12029411764705882,0.0
irwin avenue,16,17,0,17,1.0,20.823529411764707,0.10411764705882354,0.0
johnson & wales,16,17,0,17,1.0,23.41176470588235,0.11705882352941177,0.0
mint street,3,17,0,17,1.0,34.1764705882353,0.17088235294117646,0.0
sunnyside,13,17,0,17,1.0,27.941176470588236,0.13970588235294118,0.0
sunnyside,14,17,0,17,1.0,14.529411764705882,0.07264705882352941,0.0
central piedmont community college,18,16,0,16,1.0,15.625,0.078125,0.0
irwin avenue,19,16,0,16,1.0,14.875,0.074375,0.0
tryon street,1,16,0,16,1.0,46.0,0.23,0.0
tryon street,12,16,0,16,1.0,27.4375,0.1371875,0.0
tryon street,13,16,0,16,1.0,29.5,0.1475,0.0
ctc/arena,0,16,1,17,0.9411764705882353,13.0,0.5513139561520621,0.058823529411764705
mint street,12,16,1,17,0.9411764705882353,34.64705882352941,0.17323529411764704,0.058823529411764705
mint street,5,16,3,19,0.8421052631578947,18.210526315789473,0.09105263157894737,0.15789473684210525
charlotte gateway station,13,16,4,20,0.8,28.4,0.142,0.2
25th street,19,15,0,15,1.0,20.266666666666666,0.10133333333333333,0.0
bruns avenue,13,15,0,15,1.0,12.733333333333333,0.06366666666666666,0.0
bruns avenue,19,15,0,15,1.0,9.533333333333333,0.04766666666666667,0.0
carson,5,15,0,15,1.0,5.466666666666667,0.21091713615148863,0.0
johnson & wales,17,15,0,15,1.0,17.533333333333335,0.08766666666666666,0.0
johnson & wales,18,15,0,15,1.0,12.533333333333333,0.06266666666666666,0.0
parkwood,17,15,0,15,1.0,21.733333333333334,0.10866666666666668,0.0
sunnyside,17,15,0,15,1.0,15.066666666666666,0.07533333333333334,0.0
ctc/arena,9,15,2,17,0.8823529411764706,52.76470588235294,0.08141213138896251,0.11764705882352941
davidson st,21,15,2,17,0.8823529411764706,15.705882352941176,0.07852941176470588,0.11764705882352941
ctc/arena,7,15,3,18,0.8333333333333334,37.333333333333336,0.17280330487607176,0.16666666666666666
7th st,10,14,0,14,1.0,22.714285714285715,0.06938452173618996,0.0
bruns avenue,18,14,0,14,1.0,18.142857142857142,0.09071428571428572,0.0
bruns avenue,20,14,0,14,1.0,20.142857142857142,0.10071428571428571,0.0
charlotte gateway station,20,14,0,14,1.0,13.714285714285714,0.06857142857142857,0.0
hawthorne and 5th,16,14,0,14,1.0,19.714285714285715,0.09857142857142856,0.0
irwin avenue,18,14,0,14,1.0,20.428571428571427,0.10214285714285713,0.0
sunnyside,16,14,0,14,1.0,19.285714285714285,0.09642857142857143,0.0
wesley heights way,17,14,0,14,1.0,21.214285714285715,0.10607142857142858,0.0
wesley heights way,19,14,0,14,1.0,17.428571428571427,0.08714285714285715,0.0
davidson st,14,14,1,15,0.9333333333333333,20.266666666666666,0.10133333333333333,0.06666666666666667
hawthorne and 8th,11,14,2,16,0.875,23.5,0.1175,0.125
7th st,1,14,11,25,0.56,7.56,0.6863456861699005,0.44
36th street,0,13,0,13,1.0,12.076923076923077,0.060384615384615384,0.0
bruns avenue,12,13,0,13,1.0,5.384615384615385,0.026923076923076925,0.0
elizabeth and hawthorne,9,13,0,13,1.0,15.461538461538462,0.07730769230769231,0.0
elizabeth and hawthorne,10,13,0,13,1.0,13.461538461538462,0.0673076923076923,0.0
elizabeth and hawthorne,16,13,0,13,1.0,11.538461538461538,0.057692307692307696,0.0
elizabeth and hawthorne,23,13,0,13,1.0,11.76923076923077,0.05884615384615385,0.0
hawthorne and 8th,1,13,0,13,1.0,9.153846153846153,0.04576923076923077,0.0
hawthorne and 8th,8,13,0,13,1.0,14.076923076923077,0.07038461538461539,0.0
irwin avenue,11,13,0,13,1.0,12.76923076923077,0.06384615384615386,0.0
irwin avenue,17,13,0,13,1.0,12.846153846153847,0.06423076923076923,0.0
johnson & wales,8,13,0,13,1.0,6.153846153846154,0.03076923076923077,0.0
mint street,16,13,0,13,1.0,17.846153846153847,0.08923076923076924,0.0
sugar creek,1,13,0,13,1.0,12.076923076923077,0.060384615384615384,0.0
sunnyside,6,13,0,13,1.0,21.307692307692307,0.10653846153846154,0.0
sunnyside,15,13,0,13,1.0,22.46153846153846,0.1123076923076923,0.0
charlotte gateway station,17,13,1,14,0.9285714285714286,14.0,0.06999999999999999,0.07142857142857142
ctc/arena,10,13,1,14,0.9285714285714286,26.071428571428573,0.043130229255388744,0.07142857142857142
mint street,14,13,1,14,0.9285714285714286,23.285714285714285,0.11642857142857144,0.07142857142857142
mint street,15,13,1,14,0.9285714285714286,23.642857142857142,0.11821428571428572,0.07142857142857142
parkwood,15,13,2,15,0.8666666666666667,22.266666666666666,0.11133333333333333,0.13333333333333333
tryon street,3,13,3,16,0.8125,26.5,0.1325,0.1875
davidson st,3,13,5,18,0.7222222222222222,19.666666666666668,0.09833333333333333,0.2777777777777778
central piedmont community college,12,13,13,26,0.5,34.5,0.17250000000000001,0.5
9th street,3,12,0,12,1.0,6.666666666666667,0.38676825657864433,0.0
charlotte gateway station,18,12,0,12,1.0,14.166666666666666,0.07083333333333333,0.0
east/west,0,12,0,12,1.0,5.75,0.29371881521077653,0.0
elizabeth and hawthorne,17,12,0,12,1.0,15.666666666666666,0.07833333333333332,0.0
french street,21,12,0,12,1.0,16.416666666666668,0.08208333333333333,0.0
hawthorne and 5th,13,12,0,12,1.0,5.416666666666667,0.027083333333333334,0.0
johnson & wales,19,12,0,12,1.0,15.0,0.075,0.0
mint street,17,12,0,12,1.0,23.0,0.115,0.0
sunnyside,9,12,0,12,1.0,10.166666666666666,0.050833333333333335,0.0
sunnyside,10,12,0,12,1.0,14.333333333333334,0.07166666666666667,0.0
wesley heights way,3,12,0,12,1.0,9.333333333333334,0.04666666666666667,0.0
wesley heights way,12,12,0,12,1.0,13.416666666666666,0.06708333333333334,0.0
