station_name,hour,realized_incidents,blocked_incidents,total_attempts,realized_rate,mean_active_agents,mean_station_expected_lambda,blocked_rate
tryon street,10,32,0,32,1.0,46.28125,0.23140625,0.0
sunnyside,13,28,0,28,1.0,31.714285714285715,0.15857142857142859,0.0
davidson st,10,28,4,32,0.875,36.3125,0.1815625,0.125
tryon street,11,26,0,26,1.0,33.61538461538461,0.16807692307692307,0.0
mint street,12,26,3,29,0.896551724137931,35.51724137931034,0.17758620689655175,0.10344827586206896
7th st,0,26,8,34,0.7647058823529411,11.764705882352942,1.0864338081925753,0.23529411764705882
johnson & wales,16,24,0,24,1.0,24.708333333333332,0.12354166666666666,0.0
davidson st,13,23,0,23,1.0,30.91304347826087,0.15456521739130435,0.0
johnson & wales,14,21,0,21,1.0,26.238095238095237,0.1311904761904762,0.0
ctc/arena,1,21,1,22,0.9545454545454546,8.272727272727273,0.3579841304996544,0.045454545454545456
tryon street,8,21,5,26,0.8076923076923077,35.73076923076923,0.17865384615384616,0.19230769230769232
mint street,13,20,0,20,1.0,20.25,0.10124999999999999,0.0
tryon street,12,20,0,20,1.0,26.2,0.131,0.0
9th street,1,20,10,30,0.6666666666666666,10.3,0.5533052533326753,0.3333333333333333
9th street,4,19,0,19,1.0,16.31578947368421,0.21242571099645896,0.0
carson,4,19,0,19,1.0,6.2631578947368425,0.46733189478805354,0.0
davidson st,16,19,1,20,0.95,32.7,0.1635,0.05
7th st,9,19,3,22,0.8636363636363636,23.636363636363637,0.13241683985119485,0.13636363636363635
parkwood,15,19,3,22,0.8636363636363636,24.636363636363637,0.12318181818181818,0.13636363636363635
davidson st,8,19,16,35,0.5428571428571428,45.4,0.227,0.45714285714285713
davidson st,14,18,0,18,1.0,20.666666666666668,0.10333333333333333,0.0
elizabeth and hawthorne,9,18,0,18,1.0,19.38888888888889,0.09694444444444444,0.0
sunnyside,16,18,0,18,1.0,19.72222222222222,0.09861111111111111,0.0
tryon street,9,18,0,18,1.0,16.38888888888889,0.08194444444444444,0.0
tryon street,14,18,0,18,1.0,16.833333333333332,0.08416666666666667,0.0
charlotte gateway station,15,17,0,17,1.0,22.705882352941178,0.11352941176470588,0.0
davidson st,12,17,0,17,1.0,16.235294117647058,0.0811764705882353,0.0
hawthorne and 8th,19,17,0,17,1.0,17.823529411764707,0.08911764705882354,0.0
irwin avenue,21,17,0,17,1.0,13.352941176470589,0.06676470588235295,0.0
sunnyside,6,17,0,17,1.0,21.529411764705884,0.10764705882352942,0.0
wesley heights way,19,17,0,17,1.0,20.41176470588235,0.10205882352941177,0.0
ctc/arena,7,17,5,22,0.7727272727272727,50.18181818181818,0.1140973109112557,0.22727272727272727
mint street,3,17,7,24,0.7083333333333334,30.666666666666668,0.15333333333333335,0.2916666666666667
3rd street/convention center,4,16,0,16,1.0,5.8125,0.3093906944213477,0.0
9th street,11,16,0,16,1.0,19.9375,0.11310212230512301,0.0
carson,5,16,0,16,1.0,5.875,0.22525499071979505,0.0
sunnyside,11,16,0,16,1.0,26.5625,0.1328125,0.0
davidson st,9,16,7,23,0.6956521739130435,26.73913043478261,0.13369565217391305,0.30434782608695654
7th st,1,16,13,29,0.5517241379310345,6.310344827586207,0.6144884509563698,0.4482758620689655
25th street,21,15,0,15,1.0,16.866666666666667,0.08433333333333334,0.0
3rd street/convention center,2,15,0,15,1.0,6.533333333333333,0.2133447052826434,0.0
carson,1,15,0,15,1.0,4.4,0.30507188098146015,0.0
central piedmont community college,16,15,0,15,1.0,15.2,0.07600000000000001,0.0
irwin avenue,18,15,0,15,1.0,19.666666666666668,0.09833333333333334,0.0
johnson & wales,17,15,0,15,1.0,16.466666666666665,0.08233333333333334,0.0
tryon street,13,15,0,15,1.0,29.066666666666666,0.14533333333333334,0.0
wesley heights way,17,15,0,15,1.0,21.933333333333334,0.10966666666666666,0.0
mint street,15,15,3,18,0.8333333333333334,24.11111111111111,0.12055555555555555,0.16666666666666666
tryon street,1,15,4,19,0.7894736842105263,43.63157894736842,0.21815789473684213,0.21052631578947367
mint street,10,15,6,21,0.7142857142857143,41.095238095238095,0.20547619047619045,0.2857142857142857
9th street,2,15,11,26,0.5769230769230769,9.192307692307692,0.4203873566464718,0.4230769230769231
3rd street/convention center,1,14,0,14,1.0,5.214285714285714,0.15100349355370943,0.0
3rd street/convention center,5,14,0,14,1.0,3.7857142857142856,0.2620823008490062,0.0
9th street,3,14,0,14,1.0,5.214285714285714,0.40000423624263615,0.0
carson,0,14,0,14,1.0,6.714285714285714,0.5772607358520928,0.0
central piedmont community college,14,14,0,14,1.0,24.5,0.12250000000000001,0.0
hawthorne and 5th,15,14,0,14,1.0,9.785714285714286,0.04892857142857143,0.0
sunnyside,15,14,0,14,1.0,19.714285714285715,0.09857142857142857,0.0
sunnyside,18,14,0,14,1.0,18.5,0.0925,0.0
davidson st,15,14,7,21,0.6666666666666666,26.238095238095237,0.1311904761904762,0.3333333333333333
